订单号,客户代码（需方）,最终用户,部门代码,最早交货月,订单交货月,保产合同/非保产合同,渠道委托控货标记,制造单元,股份合同性质,品种代码,订单是否变更过(价格变更),订单是否变更过(重量变更),订单是否变更过 (交货信息变更(订单是否变更物流模板)),营销员代码,协议价格类型,渠道强制生效&延付罚息白名单维护（Q01-延付罚息白名单，Q03-强制生效管控名单）,合同是否厂商银（F-融资）,交货方式,运输方式代码,备货转销售,订单是否免息,收条是否有免息政策,收条上做买方付息，做报批件，做过折现的,订货量,订单价格(含税）,总重量,总金额(含税),本客户的平均回款天数:本客户的所有订单sum（订单首次配足款时间-合同强制生效时间）/订单数,本单该客户的平均晚回款比例：(本单客户的本次配足款时间-合同强制生效时间)/本客户的平均回款天数,本品种的平均回款天数:本品种的所有订单sum（订单首次配足款时间-合同强制生效时间）/订单数,本单该品种的平均晚回款比例：(本单品种的本次配足款时间-合同强制生效时间)/本品种的平均回款天数,总件数（按件计）,本客户历史订货总量,本客户历史订单总数（合约数）,本品种历史订单总数（合约数）,强制生效-首付款差值综合（客户）,强制生效-首付款差值综合（品种）,回款时间
QB23A00826,053432,117172,QB202100,202310,20230919110141917,N,N,Z,QZA,X0,Y,N,N,784544,N,Q03,N,20.0,23.0,N,N,N,N,21.0,4426.8993,342.0,1522915.26,44.17518248,0.135822868,66.61853448,0.090065025,0.0,1522915.26,137.0,1856,6052.0,123644.0,6.009027777777778
QB23A00829,052370,008071,QB202000,202310,20230918165813682,N,N,C,QSA,LC,N,N,N,105237,N,Q01,N,20.0,22.0,N,Y,N,N,10.0,8385.73,10.0,86117.3,61.71980676,0.145820288,64.70043,0.13910263,0.0,86117.3,621.0,2093,38328.0,135418.0,8.731250000000001
QB23A00838,010080,010127,QB202000,202310,20230919083945788,N,N,Z,QTA,LC,N,N,N,105209,N,Q01,N,20.0,22.0,N,N,N,N,5.0,8087.41,5.0,41567.05,55.01984127,0.145402092,64.70043,0.123646783,0.0,41567.05,252.0,2093,13865.0,135418.0,7.811111111111111
QB23A00839,010080,008906,QB202000,202310,20230919084527011,N,N,Z,QZA,LC,N,N,N,105237,N,Q01,N,20.0,23.0,N,N,N,N,5.0,8566.53,5.0,43962.65,55.01984127,0.145402092,64.70043,0.123646783,0.0,43962.65,252.0,2093,13865.0,135418.0,7.711805555555556
QB23A00849,010080,003874,QB202000,202310,20230919101603994,N,N,Z,QZA,X0,N,N,N,105209,N,Q01,N,20.0,22.0,N,N,N,N,5.0,8516.81,5.0,43714.05,55.01984127,0.145402092,66.61853448,0.120086701,0.0,43714.05,252.0,1856,13865.0,123644.0,7.811111111111111
QB23A00853,111922,011919,QB202100,202310,20230919115529171,Y,N,B,QZA,N0,N,N,N,784666,N,N,N,20.0,23.0,N,N,N,N,25.0,6400.32,25.0,161985.5,5.8,1.379310345,54.82336182,0.145923193,0.0,161985.5,5.0,351,29.0,19243.0,7.708333333333333
QB23A00854,008363,008363,QB202300,202310,20230919104358571,N,N,Z,QZA,O0,N,N,N,YX4316,N,N,N,20.0,23.0,N,N,N,N,100.0,7069.28,100.0,714838.0,36.57920792,0.218703478,67.4570185,0.118594035,0.0,714838.0,202.0,919,7389.0,61993.0,7.665972222222222
QB23A00855,008363,008363,QB202300,202310,20230919104511879,N,N,Z,QZA,O0,Y,N,N,YX4316,N,N,N,20.0,23.0,N,N,N,N,40.0,7239.91,250.0,1782292.5,36.57920792,0.246041413,67.4570185,0.133418289,0.0,1782292.5,202.0,919,7389.0,61993.0,8.698611111111111
QB23A00856,008363,008363,QB202300,202310,20230919104857184,N,N,Z,QZA,O0,Y,N,N,YX4316,N,N,N,20.0,23.0,N,N,N,N,100.0,7013.91,190.0,1336371.9,36.57920792,0.218703478,67.4570185,0.118594035,0.0,1336371.9,202.0,919,7389.0,61993.0,7.703472222222222
QB23A00857,A17242,009288,QB202100,202310,20230919105358733,Y,N,Z,QZA,M0,N,N,N,784666,N,N,N,20.0,23.0,N,N,N,N,40.0,5854.53,311.0,1817843.43,74.06382979,0.027003735,44.94050343,0.044503284,0.0,1817843.43,47.0,437,3481.0,19639.0,1.8361111111111112
QB23A00863,050976,008906,QB202000,202310,20230919111019969,N,N,Z,QZA,LC,N,N,N,105237,N,N,N,20.0,23.0,N,N,N,N,23.0,8888.58,23.0,204437.34,19.55681818,4.499709471,64.70043,1.360114608,0.0,204437.34,176.0,2093,3442.0,135418.0,17.991666666666667
QB23A00867,069781,066759,QB202100,202310,20230919124230091,Y,N,B,QZA,N0,N,N,N,E80347,N,N,N,20.0,23.0,N,N,N,N,25.0,6661.35,50.0,348322.5,65,1.369230769,54.82336182,1.62339552,0.0,348322.5,9.0,351,585.0,19243.0,18.611805555555556
QB23A00868,040130,A17368,QB202100,202310,20230919112444207,Y,N,B,QZA,N0,N,N,N,E80347,N,N,N,20.0,23.0,N,N,N,N,30.0,6500.89,103.0,680450.97,44.63636364,0.179226069,54.82336182,0.145923193,0.0,680450.97,55.0,351,2455.0,19243.0,7.759722222222222
QB23A00882,040130,A17368,QB202100,202310,20230919125420047,Y,N,B,QZA,N0,N,N,N,E80347,N,N,N,20.0,23.0,N,N,N,N,75.0,6376.59,75.0,484176.75,44.63636364,0.179226069,54.82336182,0.145923193,0.0,484176.75,55.0,351,2455.0,19243.0,7.707638888888888
QB23A00884,008981,008981,QB202100,202310,20230919125718337,Y,A,B,QZA,N0,N,N,N,E80347,N,N,N,20.0,23.0,N,N,N,N,25.0,6739.32,200.0,1311421.5,30.43478261,0.295714286,54.82336182,0.164163592,0.0,1311421.5,115.0,351,3500.0,19243.0,8.623611111111112
QB23A00885,408185,127740,QB202100,202310,20230922141321414,N,N,Z,QZA,X0,Y,N,N,784544,N,Q03,N,20.0,23.0,N,N,N,N,100.0,4382.9988,750.0,3284424.1,17.48333333,0.457578646,66.61853448,0.120086701,0.0,3284424.1,60.0,1856,1049.0,123644.0,7.6618055555555555
QB23A00887,239811,505415,QB202100,202310,20230919131330874,N,A,Z,QZA,X0,Y,N,N,784544,N,N,N,20.0,23.0,N,N,N,N,150.0,4369.597,1000.0,4383722.0,41.0625,0.073059361,66.61853448,0.045032513,0.0,4383722.0,32.0,1856,1314.0,123644.0,2.7895833333333333
QB23A00891,239811,504711,QB202100,202310,20230919132208883,N,A,Z,QZA,X0,Y,N,N,784544,N,N,N,20.0,23.0,N,N,N,N,200.0,4200.097,1300.0,5574256.1,41.0625,4.675799087,66.61853448,2.882080813,0.0,5574256.1,32.0,1856,1314.0,123644.0,53.27013888888889
QB23A00908,007767,007767,QB202100,202310,20230919141220918,Y,A,Z,QZA,M0,N,N,N,E80347,N,N,N,20.0,23.0,N,N,N,N,160.0,5896.34,160.0,956070.4,47.41666667,0.042179262,44.94050343,0.044503284,0.0,956070.4,12.0,437,569.0,19639.0,1.8708333333333333
QB23A00910,005833,405857,QB202100,202310,20230919141745090,Y,N,C,QZA,N0,Y,N,N,784666,N,N,N,20.0,23.0,N,N,N,N,20.0,5961.88,100.0,597318.0,59.24242424,0.084398977,54.82336182,0.091201996,0.0,597318.0,33.0,351,1955.0,19243.0,4.711111111111111
QB23A00913,040130,040130,QB202000,202310,20230919142023577,N,N,Z,QZD,LC,Y,N,N,105289,N,N,N,20.0,23.0,N,N,N,N,25.0,5173.14,25.0,131306.0,44.63636364,0.201629328,64.70043,0.13910263,0.0,131306.0,55.0,2093,2455.0,135418.0,8.952777777777778
QB23A00914,316890,351105,QB202100,202310,20230919142028651,N,N,Z,QZA,L0,Y,N,N,784629,N,N,F,20.0,23.0,N,N,N,N,100.0,4835.5977,500.0,2460738.85,29.02173913,0.068913858,54.24759615,0.036867993,0.0,2460738.85,46.0,832,1335.0,45134.0,1.8868055555555554
QB23A00917,008981,008981,QB202100,202310,20230919143224567,Y,A,Z,QZA,M0,N,N,N,E80347,N,N,N,20.0,23.0,N,N,N,N,25.0,5638.7,50.0,288715.0,30.43478261,0.295714286,44.94050343,0.200264779,0.0,288715.0,115.0,437,3500.0,19639.0,8.66388888888889
QB23A00923,277712,277712,QB202000,202310,20230919144357334,N,N,Z,QZD,LC,Y,N,N,784573,N,N,N,20.0,23.0,N,N,N,Y,100.0,4812.9977,1000.0,4800567.7,12.63636364,7.834532374,64.70043,1.530128934,0.0,4800567.7,11.0,2093,139.0,135418.0,28.983333333333334
QB23A00943,005565,005565,QB202100,202310,20230919152457431,N,N,Z,QZA,L0,Y,N,N,784629,N,N,N,20.0,23.0,N,N,N,N,100.0,4942.9477,818.0,3939642.42,60.15254237,1.778810933,54.24759615,1.97243763,0.0,3939642.42,59.0,832,3549.0,45134.0,36.791666666666664
QB23A00945,005565,005565,QB202100,202310,20230919153512058,N,N,Z,QZA,L0,Y,N,N,784629,N,N,N,20.0,23.0,N,N,N,N,250.0,4740.6777,808.0,3880323.18,60.15254237,1.828684136,54.24759615,2.02773962,0.0,3880323.18,59.0,832,3549.0,45134.0,40.200694444444444
QB23A00947,032610,010019,QB202000,202310,20230919153850401,N,N,J,QZA,LC,N,N,N,784034,N,N,N,20.0,21.0,N,N,N,N,15.0,8207.19,110.0,923695.9,46.5625,0.171812081,64.70043,0.123646783,0.0,923695.9,64.0,2093,2980.0,135418.0,7.738888888888888
QB23A00949,005565,005565,QB202100,202310,20230919154043823,N,N,Z,QZA,L0,Y,N,N,784629,N,N,N,20.0,23.0,N,N,N,N,44.0,4966.6777,570.0,2753013.69,60.15254237,1.762186531,54.24759615,1.954003634,0.0,2753013.69,59.0,832,3549.0,45134.0,36.200694444444444
QB23A00953,008981,342330,QB202000,202310,20230919154856650,N,N,J,QZD,LC,Y,N,N,784584,N,N,N,20.0,23.0,N,N,N,N,50.0,5500.3315,50.0,278971.58,30.43478261,6.702857143,64.70043,3.152992955,0.0,278971.58,115.0,2093,3500.0,135418.0,64.46736111111112
QB23A00954,004826,483233,QB202000,202310,20230919154929104,N,N,Z,QZA,LC,Y,N,N,784573,N,N,N,20.0,23.0,N,N,N,N,24.0,4982.4977,500.0,2463224.85,53.04545455,1.677806341,64.70043,1.375570456,0.0,2463224.85,44.0,2093,2334.0,135418.0,18.499305555555555
QB23A00955,110638,110638,QB202300,202310,20230919154937197,Y,N,K,QZA,T0,Y,N,N,784920,N,N,N,20.0,23.0,N,N,N,N,65.0,6577.73,65.0,432693.95,40.75,2.233128834,56.66350711,1.605971897,0.0,432693.95,4.0,422,163.0,23912.0,20.544444444444444
QB23A00956,004826,483233,QB202000,202310,20230919155035867,N,N,Z,QZA,LC,Y,N,N,784573,N,N,N,20.0,23.0,N,N,N,N,50.0,4812.9977,2251.0,10782134.32,53.04545455,0.16966581,64.70043,0.13910263,0.0,10782134.32,44.0,2093,2334.0,135418.0,8.48263888888889
QB23A00967,000534,011022,QB202000,202310,20230919160831814,N,N,J,QZA,LC,N,N,N,105209,N,Q01,N,10.0,11.0,N,N,N,N,22.0,8290.81,22.0,187369.82,55.54054054,0.054014599,64.70043,0.046367543,0.0,187369.82,37.0,2093,2055.0,135418.0,2.5951388888888887
QB23A00972,B08264,B08264,QB202100,202310,20230919162553104,N,N,Z,QZA,LR,Y,N,N,784629,N,N,F,20.0,23.0,N,N,N,N,60.0,4456.5053,580.0,2629973.07,39.78443114,0.201083685,46.46428571,0.17217525,0.0,2629973.07,167.0,112,6644.0,5204.0,7.909027777777777
QB23A00977,B08264,B08264,QB202100,202310,20230919163113014,N,N,Z,QZA,LR,Y,N,N,784629,N,N,F,20.0,23.0,N,N,N,N,200.0,4456.5053,600.0,2721363.18,39.78443114,0.201083685,46.46428571,0.17217525,0.0,2721363.18,167.0,112,6644.0,5204.0,7.908333333333334
QB23A00980,A07156,008906,QB202000,202310,20230919163649629,N,N,Z,QZA,LC,N,N,N,105237,N,Q01,N,20.0,23.0,N,N,N,N,22.0,8628.68,22.0,194802.96,68.43717277,0.116895536,64.70043,0.123646783,0.0,194802.96,382.0,2093,26143.0,135418.0,7.952777777777778
