订单号,客户代码（需方）,最终用户,部门代码,最早交货月,订单交货月,保产合同/非保产合同,渠道委托控货标记,制造单元,股份合同性质,品种代码,订单是否变更过(价格变更),订单是否变更过(重量变更),订单是否变更过 (交货信息变更(订单是否变更物流模板)),营销员代码,协议价格类型,渠道强制生效&延付罚息白名单维护（Q01-延付罚息白名单，Q03-强制生效管控名单）,合同是否厂商银（F-融资）,交货方式,运输方式代码,备货转销售,订单是否免息,收条是否有免息政策,收条上做买方付息，做报批件，做过折现的,订货量,订单价格(含税）,总重量,总金额(含税),本客户的平均回款天数:本客户的所有订单sum（订单首次配足款时间-合同强制生效时间）/订单数,本单该客户的平均晚回款比例：(本单客户的本次配足款时间-合同强制生效时间)/本客户的平均回款天数,本品种的平均回款天数:本品种的所有订单sum（订单首次配足款时间-合同强制生效时间）/订单数,本单该品种的平均晚回款比例：(本单品种的本次配足款时间-合同强制生效时间)/本品种的平均回款天数,总件数（按件计）,本客户历史订货总量,本客户历史订单总数（合约数）,本品种历史订单总数（合约数）,强制生效-首付款差值综合（客户）,强制生效-首付款差值综合（品种）,回款时间
QB23500029,008049,008049,QB202100,202306,20230506112004584,Y,N,Z,QZA,L0,Y,N,N,784580,N,N,N,20.0,23.0,N,Y,N,Y,100.0,4573.7428,2880.0,13054407.26,78.83673469,0.317111054,54.24759615,0.460849914,0.0,13054407.26,98.0,832,7726.0,45134.0,25.184027777777775
QB23500034,239811,110181,QB202200,202305,20230506132343416,N,A,Z,QPA,I0,N,N,N,784407,K,N,N,20.0,23.0,N,N,N,N,280.0,4347.7428,2880.0,13054407.26,41.0625,0.04870624,44.75777778,0.044684971,0.0,13054407.26,32.0,450,1314.0,20141.0,1.8708333333333333
QB23500038,129811,129811,QB202200,202305,20230506134842544,Y,A,Z,QPA,I0,N,N,N,784689,K,N,N,20.0,23.0,N,N,N,Y,1000.0,3870.0,3000.0,11847300.0,15,1,44.75777778,0.335137282,0.0,11847300.0,1.0,450,15.0,20141.0,14.81875
QB23500039,045737,111461,QB202200,202305,20230506134937958,N,A,Z,QPA,I0,N,N,N,784670,K,Q03,N,20.0,23.0,N,N,N,N,1000.0,3870.0,3000.0,11847300.0,107.7297297,-0.018564977,44.75777778,-0.044684971,0.0,11847300.0,37.0,450,3986.0,20141.0,-2.0881944444444445
QB23500040,100570,010125,QB202200,202305,20230506135306117,N,A,Z,QPA,I0,N,N,N,784670,K,Q03,N,20.0,23.0,N,N,N,Y,1000.0,3870.0,2000.0,7898200.0,53.63157895,0.093228656,44.75777778,0.111712427,0.0,7898200.0,19.0,450,1019.0,20141.0,4.9736111111111105
QB23500042,008049,008049,QB202100,202306,20230506161127955,Y,N,Z,QZA,L0,Y,N,N,784580,N,N,N,20.0,23.0,N,Y,N,Y,50.0,4573.7428,320.0,1440771.7,78.83673469,0.317111054,54.24759615,0.460849914,0.0,1440771.7,98.0,832,7726.0,45134.0,25.188888888888886
QB23500054,111059,247198,QB202100,202305,20230513074614623,Y,N,Z,QZA,X0,Y,N,N,784589,N,Q03,N,20.0,23.0,Y,Y,N,N,50.0,5823.1386,600.0,3546541.16,25.4,0,66.61853448,0,0.0,3546541.16,5.0,1856,127.0,123644.0,-0.22152777777777777
QB23600014,079217,142803,QB202000,202306,20230506202703999,Y,N,J,QZA,MC,Y,N,N,105289,N,Q03,N,20.0,23.0,N,N,N,N,200.0,4048.3041,2000.0,8254808.2,98.70422535,0.081050228,75.38231353,0.10612569,0.0,8254808.2,71.0,2239,7008.0,168781.0,8.356944444444444
QB23600020,234594,068311,QB202300,202306,20230508112449478,Y,N,M,QZA,ML,Y,N,N,784033,N,N,F,20.0,23.0,N,Y,N,N,50.0,8391.38,50.0,430869.0,14.75409836,7.252222222,101.2702703,1.056578596,0.0,430869.0,61.0,185,900.0,18735.0,38.03472222222222
QB23600024,008363,008363,QB202300,202306,20230508134508873,Y,N,Z,QZA,O0,Y,N,N,784033,N,N,N,20.0,23.0,N,N,N,N,22.0,9096.5,22.0,201863.2,36.57920792,2.433076194,67.4570185,1.319358637,0.0,201863.2,202.0,919,7389.0,61993.0,19.997916666666665
QB23500067,234594,038287,QB202300,202305,20230522162743687,N,N,M,QZA,ML,N,N,N,784667,N,N,F,20.0,23.0,Y,Y,N,N,150.0,8034.3,1150.0,9399905.0,14.75409836,1.355555556,101.2702703,0.197491326,0.0,9399905.0,61.0,185,900.0,18735.0,20.152083333333334
QB23600003,008906,008071,QB202000,202305,20230502161214808,N,N,J,QZA,LC,N,N,N,105237,N,Q01,N,20.0,23.0,N,Y,N,N,54.0,5989.0,54.0,327677.4,84.61266874,0.035455683,64.70043,0.046367543,0.0,327677.4,963.0,2093,81482.0,135418.0,2.724305555555556
QB23600104,262962,043740,QB202300,202306,20230512095657409,Y,N,Z,QZA,O0,Y,N,N,YX4316,N,N,N,20.0,21.0,N,Y,N,N,800.0,6236.0,1500.0,9236750.0,92.43589744,0.854646325,67.4570185,1.171116094,800.0,9236750.0,39.0,919,3605.0,61993.0,9.970833333333333
QB23600043,075969,075969,QB202300,202306,20230510091214948,Y,N,Z,QZA,O0,Y,N,N,784667,N,Q01,F,20.0,23.0,N,N,N,N,100.0,7070.41,550.0,3914150.5,92.6969697,1.067996077,67.4570185,1.467601181,0.0,3914150.5,66.0,919,6118.0,61993.0,29.952083333333334
QB23600044,075969,075969,QB202300,202306,20230510091252551,Y,N,Z,QZA,O0,Y,N,N,784667,N,Q01,F,20.0,23.0,N,N,N,N,11.0,8913.44,11.0,98047.84,92.6969697,1.046420399,67.4570185,1.437952672,0.0,98047.84,66.0,919,6118.0,61993.0,27.756944444444443
QB23600102,262962,043740,QB202300,202306,20230512095605358,Y,N,Z,QZA,O0,Y,N,N,YX4316,N,N,N,20.0,21.0,N,Y,N,N,72.0,8065.94,72.0,586442.88,92.43589744,2.06629681,67.4570185,2.831432581,0.0,586442.88,39.0,919,3605.0,61993.0,51.62291666666667
QB23600108,050819,005138,QB202300,202306,20230512095816062,Y,N,B,QZA,O0,Y,N,N,YX4316,N,Q01,N,10.0,11.0,N,N,N,N,42.0,8426.41,42.0,353909.22,90.3046595,1.207025203,67.4570185,1.615843724,0.0,353909.22,279.0,919,25195.0,61993.0,39.73263888888889
QB23600113,247309,003140,QB202300,202306,20230512113139138,Y,N,M,QZA,T0,Y,N,Y,784920,N,Q01,N,20.0,21.0,N,N,N,N,60.0,7980.06,300.0,2451173.4,69.33333333,1.442307692,56.66350711,1.764804282,0.0,2451173.4,18.0,422,1248.0,23912.0,30.695138888888888
QB23600118,010019,010019,QB202000,202306,20230512134114313,N,N,J,QZA,MC,N,N,N,784034,N,Q01,N,20.0,23.0,N,N,N,N,18.0,10392.61,18.0,187066.98,98.77419355,1.042782495,75.38231353,1.366368252,0.0,187066.98,310.0,2239,30620.0,168781.0,33.891666666666666
QB23600120,270492,000033,QB202100,202306,20230512135003166,Y,N,B,QZA,N0,N,N,N,E80347,N,Q01,N,20.0,23.0,N,Y,N,N,120.0,7433.14,120.0,891976.8,84.55555556,1.111695138,54.82336182,1.714597516,0.0,891976.8,9.0,351,761.0,19243.0,25.211111111111112
QB23600123,010019,003731,QB202000,202306,20230512135128653,N,N,Z,QZA,LC,N,N,N,784034,N,Q01,N,20.0,23.0,N,N,N,N,30.0,8593.65,30.0,257809.5,98.77419355,1.042782495,64.70043,1.591952325,0.0,257809.5,310.0,2093,30620.0,135418.0,33.891666666666666
QB23600124,010019,010019,QB202000,202306,20230512135215680,N,N,Z,QZA,LC,Y,N,N,784034,N,Q01,N,20.0,23.0,N,N,N,N,13.0,7945.03,401.0,3229970.53,98.77419355,1.042782495,64.70043,1.591952325,0.0,3229970.53,310.0,2093,30620.0,135418.0,33.891666666666666
QB23600125,050976,008906,QB202000,202306,20230512135307279,N,N,Z,QZA,LC,N,N,N,105237,N,N,N,20.0,23.0,N,N,N,N,18.0,9713.48,401.0,3229970.53,19.55681818,4.346310285,64.70043,1.313747065,0.0,3229970.53,176.0,2093,3442.0,135418.0,15.775694444444445
QB23600126,270492,000033,QB202100,202306,20230512135436938,Y,N,C,QZA,N0,Y,N,N,E80347,N,Q01,N,20.0,22.0,N,Y,N,N,17.0,9741.73,42.0,383586.41,84.55555556,1.32457293,54.82336182,2.0429247,0.0,383586.41,9.0,351,761.0,19243.0,42.69583333333333
QB23600127,010019,003731,QB202000,202306,20230512135926471,N,N,J,QZA,LC,N,N,N,784034,N,Q01,N,20.0,23.0,N,N,N,N,105.0,5718.93,105.0,608793.15,98.77419355,1.083278903,64.70043,1.653775717,0.0,608793.15,310.0,2093,30620.0,135418.0,38.275
QB23600128,010019,003731,QB202000,202306,20230512135949598,N,N,J,QCY,MC,N,N,N,784034,N,Q01,N,20.0,23.0,Y,N,N,N,18.0,10532.73,494.0,5466729.82,98.77419355,1.042782495,75.38231353,1.366368252,0.0,5466729.82,310.0,2239,30620.0,168781.0,33.64513888888889
QB23600129,050976,008906,QB202000,202306,20230512140409789,N,N,Z,QZA,MC,N,N,N,105237,N,N,N,20.0,23.0,N,N,N,N,265.0,11086.43,494.0,5466729.82,19.55681818,0.613596746,75.38231353,0.159188534,0.0,5466729.82,176.0,2239,3442.0,168781.0,11.75763888888889
QB23600136,247309,003140,QB202300,202306,20230512143457925,Y,A,M,QZA,T0,Y,N,Y,784920,N,Q01,N,20.0,21.0,N,N,N,N,30.0,9652.46,105.0,1017915.3,69.33333333,1.370192308,56.66350711,1.676564068,0.0,1017915.3,18.0,422,1248.0,23912.0,25.492361111111112
QB23600159,067788,000327,QB202100,202306,20230512153915076,Y,N,B,QZA,N0,Y,N,N,E80347,N,N,N,20.0,23.0,N,N,N,N,100.0,6674.91,100.0,675401.0,46.28571429,4.148148148,54.82336182,3.502156628,0.0,675401.0,35.0,351,1620.0,19243.0,52.66527777777778
QB23600139,247309,003140,QB202300,202306,20230512144259669,Y,N,M,QZA,T0,Y,N,N,784920,N,Q01,N,20.0,23.0,N,N,N,N,200.0,5033.02,200.0,1022424.0,69.33333333,1.384615385,56.66350711,1.694212111,0.0,1022424.0,18.0,422,1248.0,23912.0,26.699305555555554
QB23600140,247309,003140,QB202300,202306,20230512144436351,Y,A,M,QZA,T0,Y,N,N,784920,N,Q01,N,20.0,21.0,N,N,N,N,32.0,11036.71,32.0,355705.92,69.33333333,1.427884615,56.66350711,1.74715624,0.0,355705.92,18.0,422,1248.0,23912.0,29.670833333333334
QB23600141,075969,075969,QB202300,202306,20230512144624280,Y,N,Z,QZA,O0,Y,N,N,784033,N,Q01,F,20.0,23.0,N,N,N,N,25.0,4495.14,100.0,432564.0,92.6969697,1.272965021,67.4570185,1.749262013,0.0,432564.0,66.0,919,6118.0,61993.0,49.161111111111104
QB23600146,007821,007821,QB202200,202306,20230512145648518,N,A,M,QZA,I0,Y,N,N,784689,N,Q03,N,20.0,23.0,N,N,N,N,25.0,4269.14,100.0,432564.0,23.50387597,0.765831135,44.75777778,0.402164739,0.0,432564.0,129.0,450,3032.0,20141.0,17.743750000000002
QB23600163,476643,476643,QB202300,202306,20230512155537060,Y,N,Z,QZA,S0,Y,N,N,784665,N,N,N,20.0,23.0,N,N,N,N,29.0,9772.24,403.0,4034104.52,44.93162393,0.400608712,43.39791667,0.414766454,0.0,4034104.52,117.0,480,5257.0,20831.0,18.313194444444445
QB23600160,005660,005660,QB202300,202306,20230512153923889,Y,N,Z,QZA,S0,Y,N,N,784595,N,N,F,20.0,23.0,N,N,N,N,100.0,4859.0,400.0,2012530.0,53.66666667,0.298136646,43.39791667,0.368681292,0.0,2012530.0,21.0,480,1127.0,20831.0,16.01388888888889
QB23600162,A16858,008906,QB202000,202306,20230512155421333,N,N,Z,QZA,LC,N,N,N,105237,N,Q01,N,20.0,23.0,N,N,N,N,300.0,4825.1,300.0,1447530.0,63.70949721,0.172658716,64.70043,0.170014326,0.0,1447530.0,179.0,2093,11404.0,135418.0,11.103472222222223
QB23600169,008906,008906,QB202000,202306,20230512161415607,N,N,Z,QZA,LC,N,N,N,105237,N,Q01,N,20.0,23.0,N,N,N,N,55.0,8493.08,55.0,479549.4,84.61266874,1.004577698,64.70043,1.313747065,0.0,479549.4,963.0,2093,81482.0,135418.0,15.656944444444443
QB23600171,042709,042709,QB202300,202306,20230512162033685,Y,N,Z,QZA,S0,Y,N,N,784595,N,N,F,20.0,23.0,N,Y,N,N,300.0,4974.26,600.0,3059136.0,17.04761905,5.748603352,43.39791667,2.258172915,0.0,3059136.0,42.0,480,716.0,20831.0,28.787499999999998
QB23600172,008906,008906,QB202000,202306,20230512162338061,N,N,Z,QZA,LC,N,N,N,105237,N,Q01,N,20.0,23.0,N,N,N,N,5.0,8357.48,5.0,42917.4,84.61266874,1.004577698,64.70043,1.313747065,0.0,42917.4,963.0,2093,81482.0,135418.0,15.656944444444443
QB23600173,476643,476643,QB202300,202306,20230512162556140,Y,N,Z,QZA,S0,Y,N,N,784665,N,N,N,20.0,23.0,N,N,N,N,100.0,4746.0,100.0,474600.0,44.93162393,0.356096633,43.39791667,0.368681292,0.0,474600.0,117.0,480,5257.0,20831.0,15.887500000000001
QB23600174,008026,008026,QB202300,202306,20230512162640827,Y,A,Z,QZA,O0,Y,N,N,YX4316,N,N,N,20.0,23.0,N,N,N,N,150.0,6934.81,450.0,2952859.5,64.46153846,0.155131265,67.4570185,0.148242544,0.0,2952859.5,13.0,919,838.0,61993.0,9.604861111111111
QB23600175,008363,008363,QB202300,202306,20230512162724214,Y,N,B,QZA,O0,Y,N,N,YX4316,N,N,N,20.0,23.0,N,N,N,N,5.0,7964.24,5.0,39821.2,36.57920792,2.597103803,67.4570185,1.408304163,0.0,39821.2,202.0,919,7389.0,61993.0,25.70486111111111
QB23600178,408185,042709,QB202300,202306,20230512163013700,Y,N,Z,QZA,S0,Y,N,N,784595,N,Q03,N,20.0,23.0,N,N,N,N,27.0,7838.81,117.0,900518.47,17.48333333,1.086749285,43.39791667,0.437809035,0.0,900518.47,60.0,480,1049.0,20831.0,18.681250000000002
QB23600180,008906,008906,QB202000,202306,20230512163829335,N,N,Z,QZA,LC,N,N,N,105237,N,Q01,N,20.0,23.0,N,N,N,Y,100.0,4976.52,350.0,1742912.0,84.61266874,1.016396259,64.70043,1.329202912,0.0,1742912.0,963.0,2093,81482.0,135418.0,16.822222222222223
QB23600181,042709,042709,QB202300,202306,20230512163916437,Y,N,Z,QZA,S0,Y,N,N,784595,N,N,F,20.0,23.0,N,Y,N,N,40.0,8052.38,100.0,834618.0,17.04761905,5.689944134,43.39791667,2.235130335,0.0,834618.0,42.0,480,716.0,20831.0,27.618750000000002
QB23600193,008906,008071,QB202000,202306,20230512172800731,N,N,J,QZA,LC,N,N,N,105237,N,Q01,N,20.0,23.0,N,N,N,N,50.0,4839.79,150.0,754783.5,84.61266874,1.016396259,64.70043,1.329202912,0.0,754783.5,963.0,2093,81482.0,135418.0,16.822916666666668
QB23600195,408185,042709,QB202300,202306,20230512174924461,Y,N,Z,QZA,S0,Y,N,N,784595,N,Q03,N,20.0,23.0,N,N,N,N,70.0,8685.18,180.0,1567852.4,17.48333333,0.857959962,43.39791667,0.345638712,0.0,1567852.4,60.0,480,1049.0,20831.0,14.65486111111111
QB23600182,008906,008906,QB202000,202306,20230512164129470,N,N,Z,QZA,LC,N,N,N,105237,N,Q01,N,20.0,23.0,N,N,N,N,18.0,8058.03,180.0,1567852.4,84.61266874,1.004577698,64.70043,1.313747065,0.0,1567852.4,963.0,2093,81482.0,135418.0,15.654166666666667
QB23600183,008906,008906,QB202000,202306,20230512164827100,N,N,J,QZA,LC,N,N,N,105237,N,Q01,N,20.0,23.0,N,N,N,N,22.0,8058.03,180.0,1567852.4,84.61266874,1.004577698,64.70043,1.313747065,0.0,1567852.4,963.0,2093,81482.0,135418.0,15.654166666666667
QB23600184,408185,042709,QB202300,202306,20230512164854837,Y,N,Z,QZA,S0,Y,N,N,784595,N,Q03,N,20.0,23.0,N,N,N,N,40.0,9238.88,93.0,883623.84,17.48333333,0.857959962,43.39791667,0.345638712,0.0,883623.84,60.0,480,1049.0,20831.0,14.660416666666668
QB23600204,008363,008363,QB202300,202306,20230512183350527,Y,N,Z,QZA,O0,Y,N,N,YX4316,N,N,N,20.0,23.0,N,N,N,N,40.0,6674.91,180.0,1241711.8,36.57920792,2.542427933,67.4570185,1.378655655,0.0,1241711.8,202.0,919,7389.0,61993.0,23.68263888888889
QB23600205,008363,008363,QB202300,202306,20230512183439807,Y,N,Z,QZA,O0,Y,N,N,YX4316,N,N,N,20.0,23.0,N,N,N,N,225.0,6618.41,225.0,1506939.75,36.57920792,2.460414129,67.4570185,1.334182892,0.0,1506939.75,202.0,919,7389.0,61993.0,20.518055555555556
QB23600206,009022,008906,QB202000,202306,20230512183627575,Y,N,Z,QZA,LC,Y,N,N,105237,N,Q01,N,20.0,23.0,N,N,N,N,25.0,8402.68,25.0,212044.5,36.09722222,5.402077722,64.70043,3.013890325,0.0,212044.5,72.0,2093,2599.0,135418.0,56.07916666666667
QB23600214,087437,087437,QB202300,202306,20230512191257283,Y,N,B,QSA,TG,Y,N,N,782078,N,N,N,20.0,23.0,N,N,N,N,50.0,4377.4053,200.0,896951.06,49.75,2.351758794,47.7625,2.449620518,0.0,896951.06,4.0,80,199.0,3821.0,47.97152777777777
QB23600217,050976,008906,QB202000,202306,20230512191554492,N,N,J,QZA,LC,N,N,N,105237,N,N,N,20.0,23.0,N,N,N,N,60.0,10729.35,60.0,643761.0,19.55681818,4.601975596,64.70043,1.391026304,0.0,643761.0,176.0,2093,3442.0,135418.0,20.59375
QB23600218,008049,008049,QB202100,202306,20230512191620573,Y,N,Z,QZA,L0,Y,N,N,784580,N,N,N,20.0,23.0,N,N,N,Y,50.0,8526.98,50.0,426349.0,78.83673469,0.17758219,54.24759615,0.258075952,0.0,426349.0,98.0,832,7726.0,45134.0,14.03125
QB23600222,087437,087437,QB202300,202306,20230512191732146,Y,N,B,QSA,TG,Y,N,N,782078,N,N,N,20.0,23.0,N,N,N,N,150.0,4347.7428,1110.0,4960125.51,49.75,2.351758794,47.7625,2.449620518,0.0,4960125.51,4.0,80,199.0,3821.0,48.422222222222224
QB23600223,007098,007098,QB202000,202306,20230512192006919,Y,N,Z,QZD,LC,Y,N,N,783412,N,Q03,N,20.0,23.0,N,Y,N,N,80.0,4347.7428,1110.0,4960125.51,95.79104478,2.098317233,64.70043,3.106625412,0.0,4960125.51,67.0,2093,6418.0,135418.0,62.25972222222222
QB23600225,008981,342330,QB202000,202306,20230512193941586,N,N,J,QZD,LC,Y,N,N,105209,N,N,N,20.0,23.0,N,N,N,N,15.0,10910.15,15.0,164838.75,30.43478261,3.187142857,64.70043,1.499217238,0.0,164838.75,115.0,2093,3500.0,135418.0,27.746527777777775
QB23600227,008049,008049,QB202100,202306,20230512194343976,Y,N,Z,QZA,L0,Y,N,N,784580,N,N,N,20.0,23.0,N,N,N,Y,25.0,4377.4053,210.0,940047.11,78.83673469,1.319181983,54.24759615,1.917135641,0.0,940047.11,98.0,832,7726.0,45134.0,35.25138888888889
QB23600230,008049,008049,QB202100,202306,20230512200026835,Y,N,Z,QZA,L0,Y,N,N,784580,N,N,N,20.0,23.0,N,N,N,Y,50.0,4347.7428,375.0,1671931.05,78.83673469,2.435412892,54.24759615,3.539327336,0.0,1671931.05,98.0,832,7726.0,45134.0,53.30694444444444
QB23600228,008363,008363,QB202300,202306,20230512194428375,Y,N,B,QZA,O0,Y,N,N,YX4316,N,N,N,20.0,23.0,N,N,N,N,100.0,4573.7428,3012.0,13888932.51,36.57920792,3.089186629,67.4570185,1.675140742,0.0,13888932.51,202.0,919,7389.0,61993.0,44.22986111111111
QB23600231,050976,008906,QB202000,202306,20230512200240050,N,N,Z,QZA,MC,N,N,N,105237,N,N,N,20.0,23.0,N,N,N,N,30.0,8895.36,110.0,1022785.6,19.55681818,0.613596746,75.38231353,0.159188534,0.0,1022785.6,176.0,2239,3442.0,168781.0,11.75763888888889
QB23600232,007098,007098,QB202000,202306,20230512200603086,Y,N,Z,QZD,LC,Y,N,N,783412,N,Q03,N,20.0,23.0,N,Y,N,N,25.0,4400.0053,210.0,936148.61,95.79104478,2.098317233,64.70043,3.106625412,0.0,936148.61,67.0,2093,6418.0,135418.0,61.80902777777778
QB23600236,050976,008906,QB202000,202306,20230512203524152,N,N,Z,QZA,LC,N,N,N,105237,N,N,N,20.0,23.0,N,N,N,N,100.0,4645.995,200.0,967619.0,19.55681818,4.550842533,64.70043,1.375570456,0.0,967619.0,176.0,2093,3442.0,135418.0,20.118750000000002
QB23600237,050976,008906,QB202000,202306,20230512204021094,N,N,Z,QZA,MC,N,N,N,105237,N,N,N,20.0,23.0,N,N,N,N,25.0,8606.08,150.0,1284414.5,19.55681818,4.346310285,75.38231353,1.127585451,0.0,1284414.5,176.0,2239,3442.0,168781.0,15.52986111111111
QB23600239,B08264,B08264,QB202100,202306,20230512204654491,Y,N,Z,QZA,L0,Y,N,N,784580,N,N,F,20.0,23.0,N,N,N,N,45.0,8459.18,150.0,1284414.5,39.78443114,0.351896448,54.24759615,0.258075952,0.0,1284414.5,167.0,832,6644.0,45134.0,13.805555555555555
QB23600241,B08264,B08264,QB202100,202306,20230512204856261,Y,N,Z,QZA,L0,Y,N,N,784580,N,N,N,20.0,23.0,N,N,N,N,25.0,11087.56,48.0,480381.08,39.78443114,0.326760987,54.24759615,0.239641955,0.0,480381.08,167.0,832,6644.0,45134.0,12.615972222222224
QB23600234,468015,170456,QB202100,202306,20230512202403185,Y,N,Z,QZA,L0,Y,N,N,784580,N,N,N,20.0,23.0,N,N,N,N,100.0,4633.339,700.0,3221867.3,14.42222222,0.208012327,54.24759615,0.05530199,0.0,3221867.3,45.0,832,649.0,45134.0,3.4145833333333333
QB23600235,050976,008906,QB202000,202306,20230512203110434,N,N,Z,QZA,LC,N,N,N,105237,N,N,N,20.0,23.0,N,N,N,N,200.0,4497.739,700.0,3221867.3,19.55681818,4.550842533,64.70043,1.375570456,0.0,3221867.3,176.0,2093,3442.0,135418.0,20.118750000000002
QB23600242,468015,170456,QB202100,202306,20230512204944127,Y,N,Z,QZA,L0,Y,N,N,784580,N,N,N,20.0,23.0,N,N,N,N,50.0,5845.49,480.0,2826570.7,14.42222222,-0.069337442,54.24759615,-0.018433997,0.0,2826570.7,45.0,832,649.0,45134.0,-0.44236111111111115
QB23600250,008981,342330,QB202000,202306,20230512205815692,Y,N,Z,QZD,LC,Y,N,N,105209,N,N,N,20.0,23.0,N,N,N,N,51.0,4682.5053,339.0,1588646.2,30.43478261,6.998571429,64.70043,3.292095586,0.0,1588646.2,115.0,2093,3500.0,135418.0,74.25486111111111
QB23600249,A17253,A17253,QB202100,202306,20230512205807946,Y,N,B,QZA,N0,Y,N,N,E80347,N,N,N,20.0,23.0,N,N,N,N,25.0,4659.9053,247.0,1183902.21,14.4,8.055555556,54.82336182,2.115886296,0.0,1183902.21,5.0,351,72.0,19243.0,46.87569444444444
QB23600252,050976,008906,QB202000,202306,20230512210702579,N,N,Z,QZA,MC,N,N,N,105237,N,N,N,20.0,23.0,N,N,N,N,30.0,11556.51,75.0,865043.25,19.55681818,4.346310285,75.38231353,1.127585451,0.0,865043.25,176.0,2239,3442.0,168781.0,15.52986111111111
QB23600254,007767,007767,QB202100,202306,20230512210845211,Y,N,B,QZA,N0,N,N,N,E80347,N,N,N,20.0,23.0,N,N,N,N,80.0,6707.68,130.0,876631.4,47.41666667,0.210896309,54.82336182,0.182403991,0.0,876631.4,12.0,351,569.0,19243.0,10.345138888888888
QB23600261,009022,008906,QB202000,202306,20230512212053809,Y,N,Z,QZA,MC,Y,N,N,105237,N,Q01,N,20.0,23.0,N,N,N,N,40.0,9443.41,40.0,380900.4,36.09722222,5.457483648,75.38231353,2.613345104,0.0,380900.4,72.0,2239,2599.0,168781.0,58.22430555555556
QB23600262,050976,008906,QB202000,202306,20230512212707556,N,N,Z,QZA,MC,N,N,N,105237,N,N,N,20.0,23.0,N,N,N,N,25.0,11240.11,25.0,282980.25,19.55681818,0.71586287,75.38231353,0.185719957,0.0,282980.25,176.0,2239,3442.0,168781.0,13.789583333333333
QB23600269,010080,008906,QB202000,202306,20230512221931363,N,N,Z,QZA,MC,Y,N,N,105237,N,Q01,N,20.0,22.0,N,N,N,N,70.0,8837.73,643.0,5669733.19,55.01984127,3.744103859,75.38231353,2.732736505,0.0,5669733.19,252.0,2239,13865.0,168781.0,66.78402777777778
QB23600281,A17242,121983,QB202000,202306,20230513132253165,Y,N,Z,QZD,LC,Y,N,N,105209,N,N,N,20.0,23.0,N,N,N,N,50.0,4626.0053,500.0,2256785.15,74.06382979,0.216029876,64.70043,0.247293565,0.0,2256785.15,47.0,2093,3481.0,135418.0,15.827777777777778
QB23600306,050976,008906,QB202000,202306,20230515104112770,N,N,Z,QZA,X0,N,N,N,105237,N,N,N,20.0,23.0,N,N,N,N,100.0,4377.4053,1000.0,4448595.3,19.55681818,0.818128995,66.61853448,0.240173401,0.0,4448595.3,176.0,1856,3442.0,123644.0,15.934722222222222
QB23600307,052370,011022,QB202000,202306,20230515104831980,Y,N,Z,QZA,LC,N,N,N,105209,N,Q01,N,20.0,23.0,N,N,N,N,42.0,4099.9451,42.0,175519.89,61.71980676,0.162022542,64.70043,0.154558478,0.0,175519.89,621.0,2093,38328.0,135418.0,9.761111111111111
QB23600308,050976,008906,QB202000,202306,20230515105240568,N,N,Z,QZA,X0,N,N,N,105237,N,N,N,20.0,23.0,N,N,N,N,50.0,7262.51,70.0,507245.7,19.55681818,0.613596746,66.61853448,0.180130051,0.0,507245.7,176.0,1856,3442.0,123644.0,11.749305555555557
QB23600296,306500,306500,QB202100,202306,20230515092902275,Y,N,Z,QZA,X0,Y,N,N,784589,N,N,N,20.0,23.0,N,N,N,N,60.0,8714.56,60.0,527619.6,10,1,66.61853448,0.150108376,0.0,527619.6,1.0,1856,10.0,123644.0,9.502083333333333
QB23600303,050976,008906,QB202000,202306,20230515102829773,N,N,Z,QZA,X0,N,N,N,105237,N,N,N,20.0,23.0,N,N,N,N,50.0,7443.31,182.0,1382582.12,19.55681818,0.613596746,66.61853448,0.180130051,0.0,1382582.12,176.0,1856,3442.0,123644.0,11.756944444444445
QB23600304,050976,008906,QB202000,202306,20230515103152613,N,N,Z,QZA,X0,N,N,N,105237,N,N,N,20.0,23.0,N,N,N,N,30.0,7629.76,182.0,1382582.12,19.55681818,0.613596746,66.61853448,0.180130051,0.0,1382582.12,176.0,1856,3442.0,123644.0,11.756944444444445
QB23600326,A16858,008388,QB202000,202306,20230515134244115,Y,N,Z,QZD,LC,N,N,N,784034,N,Q01,N,20.0,23.0,N,N,N,N,50.0,7725.81,50.0,390245.5,63.70949721,0.235443704,64.70043,0.231837717,0.0,390245.5,179.0,2093,11404.0,135418.0,14.861805555555556
QB23600309,052370,011022,QB202000,202306,20230515110004676,Y,N,Z,QZA,LC,N,N,N,105209,N,Q01,N,20.0,23.0,N,N,N,Y,27.0,8793.66,47.0,417019.72,61.71980676,0.162022542,64.70043,0.154558478,0.0,417019.72,621.0,2093,38328.0,135418.0,9.725
QB23600316,052370,011022,QB202000,202306,20230515114708152,Y,N,Z,QZA,LC,N,N,N,105209,N,Q01,N,20.0,23.0,N,N,N,N,20.0,8793.66,47.0,417019.72,61.71980676,0.162022542,64.70043,0.154558478,0.0,417019.72,621.0,2093,38328.0,135418.0,9.724305555555555
QB23600317,052370,011022,QB202000,202306,20230515121546703,N,N,J,QZA,LC,N,N,N,105209,N,Q01,N,20.0,23.0,N,N,N,N,25.0,8493.08,25.0,212327.0,61.71980676,0.145820288,64.70043,0.13910263,0.0,212327.0,621.0,2093,38328.0,135418.0,8.688888888888888
